College Name,District,City,State,Total Students,Total Ideas,Endorsed Ideas,Incubated Ideas,Endorsement Rate
Dr. Ambedkar College of Engineering - Akola,Akola,Akola,Maharashtra,20,37,22,0,59%
Dr. Ambedkar College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,38,25,0,66%
Dr. Ambedkar College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,41,30,0,73%
Dr. Ambedkar College of Engineering - Washim,Washim,Washim,Maharashtra,20,42,25,0,60%
Dr. Ambedkar College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,42,24,0,57%
Dr. Panjabrao Deshmukh Institute of Technology - Akola,Akola,Akola,Maharashtra,20,45,29,0,64%
Dr. Panjabrao Deshmukh Institute of Technology - Amravati,Amravati,Amravati,Maharashtra,20,43,32,0,74%
Dr. Panjabrao Deshmukh Institute of Technology - Buldhana,Buldhana,Buldhana,Maharashtra,20,36,27,0,75%
Dr. Panjabrao Deshmukh Institute of Technology - Washim,Washim,Washim,Maharashtra,20,43,31,0,72%
Dr. Panjabrao Deshmukh Institute of Technology - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,35,26,0,74%
G.H. Raisoni College of Engineering - Akola,Akola,Akola,Maharashtra,20,41,35,0,85%
G.H. Raisoni College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,40,24,0,60%
G.H. Raisoni College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,40,32,1,80%
G.H. Raisoni College of Engineering - Washim,Washim,Washim,Maharashtra,20,40,29,0,73%
G.H. Raisoni College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,33,17,0,52%
Government College of Engineering - Akola,Akola,Akola,Maharashtra,20,38,26,0,68%
Government College of Engineering - Amravati,Amravati,Amravati,Maharashtra,20,38,30,0,79%
Government College of Engineering - Buldhana,Buldhana,Buldhana,Maharashtra,20,41,33,0,80%
Government College of Engineering - Washim,Washim,Washim,Maharashtra,20,33,24,0,73%
Government College of Engineering - Yavatmal,Yavatmal,Yavatmal,Maharashtra,20,38,27,0,71%
Government College of Engineering, Amravati,Amravati,Amravati,Maharashtra,22,56,17,3,30%
Mahatma Gandhi Arts, Science & Commerce College - Akola,Akola,Akola,Maharashtra,20,42,29,0,69%
Mahatma Gandhi Arts, Science & Commerce College - Amravati,Amravati,Amravati,Maharashtra,20,40,23,0,57%
Mahatma Gandhi Arts, Science & Commerce College - Buldhana,Buldhana,Buldhana,Maharashtra,20,42,30,0,71%
